num,content_type,viral_trigger,formula,platform,avg_shares,psychological_principle,example
1,educational,Aha Moment,"[Common struggle] → [Simple 2-step solution]",all,2400,Cognitive ease + Relief,"Struggling with captions? 1) Write hook first 2) Add value. Done."
2,controversial,Challenge Belief,"Everyone says [X]. Data shows [Y].",all,5200,Cognitive dissonance,"Everyone says post daily. My data: 3x/week gets 2x engagement."
3,relatable,Shared Experience,"We all [pain point]. Here's the psychology:",all,3100,Social validation,"We all overthink captions for 30 mins. Here's why: perfectionism bias."
4,surprising,Pattern Interrupt,"Stop [common action]. Do [counterintuitive] instead.",all,4300,Expectation violation,"Stop chasing followers. Chase engagement. Algorithm rewards quality."
5,aspirational,Transformation,"Before: [relatable struggle]. After: [impressive result].",instagram,2800,Hope + Social proof,"Before: 50 views. After: 5k views. Changed one thing: keyword placement."
6,data-driven,Research Reveal,"I analyzed [large number]. Found [insight].",twitter,6100,Authority + Curiosity,"I analyzed 5000 viral posts. 78% follow this pattern."
7,vulnerable,Personal Failure,"I lost [something] by [mistake]. Lesson:",all,3700,Authenticity + Learning,"I lost 10k followers ignoring SEO. Now I'm #1 for 'Instagram tips'."
8,tactical,Quick Win,"[Result] in [short time] using [simple method].",all,2900,Immediate value + Low barrier,"100 new followers in 24 hours using alt text optimization."
9,controversial,Myth-Busting,"Myth: [common belief]. Truth: [data-backed reality].",all,4600,Correction need,"Myth: More hashtags = more reach. Truth: Instagram penalizes 30+ tags."
10,story-driven,Hero Journey,"From [zero] to [hero] in [timeframe]. The playbook:",all,3400,Narrative arc + Inspiration,"From 0 to 100k in 6 months. The exact strategy I used."
11,utility,Resource Drop,"[Number] free [tools/resources] that [benefit].",all,2600,Utility + Generosity,"7 free tools that analyze your Twitter SEO (better than paid ones)."
12,psychological,Framework Share,"The [name] framework for [result].",twitter,3900,Mental model + Structure,"The 3-Tweet Formula for viral threads. Tested on 1000+ threads."
13,contrarian,Unpopular Opinion,"Unpopular opinion: [controversial take + data].",all,5800,Controversy + Conviction,"Unpopular opinion: Reels are overrated. My carousels get 10x saves."
14,temporal,Trend Hijack,"[Trending topic] + [Your angle].",all,7200,Recency + Relevance,"[Trending news] Here's what it means for content creators:"
15,experimental,Test Results,"I tested [X] for [time]. Result: [surprising outcome].",all,4100,Scientific method + Credibility,"I posted at different times for 30 days. 8pm beats 8am by 400%."
16,insider,Behind-the-Scenes,"What [achievement] actually looks like (reality check):",all,3300,Transparency + Humanization,"What 100k followers looks like: 80% lurkers 15% engage 5% buy."
17,comparison,Versus Battle,"[Option A] vs [Option B]: Which actually works?",all,3800,Decision framework,"Hashtags vs Keywords: Instagram now prioritizes keywords 3:1."
18,tactical,Mistake List,"[Number] mistakes costing you [result].",all,4400,Loss aversion + Education,"7 mistakes killing your Instagram reach (you're doing #4)."
19,urgency,Time-Sensitive,"Do this before [deadline/change] happens:",all,5300,FOMO + Scarcity,"Fix your Instagram SEO before Q1 2026 algorithm update."
20,community,Challenge Launch,"[N]-day challenge for [result]. Join us:",all,3600,Social commitment + Gamification,"30-day Instagram SEO challenge. 500+ creators already started."
