num,structure_name,type,slide_count,structure_template,example_topic,swipe_rate,best_for,hook_style,cta_type,psychology_principle
1,Problem-Solution Arc,educational,7,"S1:Hook problem | S2:Agitate | S3:Introduce solution | S4-5:Steps | S6:Proof | S7:CTA",productivity tips,65%,authority building,data_shock,follow_save,pain-relief
2,Story Transformation,story,8,"S1:Before state | S2:Problem hit | S3:Rock bottom | S4:Discovery | S5-6:Journey | S7:After state | S8:CTA",personal growth,78%,connection building,personal_failure,share_comment,hero_journey
3,Myth-Busting,educational,6,"S1:Common myth | S2:Why people believe | S3:The truth | S4-5:Evidence | S6:What to do instead",industry myths,61%,thought leadership,controversy,engage_debate,cognitive_dissonance
4,Numbered List,listicle,10,"S1:Hook with number | S2-9:One item per slide | S10:Summary + CTA",tips tricks,58%,saves shares,number_list,save_share,completion_drive
5,Before-After,transformation,5,"S1:Before state | S2:The change | S3:During process | S4:After state | S5:How to replicate",results showcase,72%,proof inspiration,before_after,dm_inquiry,social_proof
6,Day-in-Life,story,7,"S1:Morning hook | S2-6:Time progression | S7:Evening reflection + CTA",lifestyle content,64%,relatability,story_opener,follow_comment,parasocial_connection
7,Behind-the-Scenes,transparency,6,"S1:Polished result | S2:Reality reveal | S3-5:Process steps | S6:Final thoughts + CTA",creative process,69%,authenticity,pattern_interrupt,engage_follow,transparency_bias
8,Comparison,educational,6,"S1:A vs B hook | S2:Factor 1 | S3:Factor 2 | S4:Factor 3 | S5:Verdict | S6:CTA",product comparison,63%,decision support,comparison,comment_opinion,choice_paralysis_relief
9,Tutorial Steps,educational,8,"S1:End result hook | S2:What you need | S3-6:Step by step | S7:Common mistakes | S8:CTA",how-to content,67%,authority building,direct_benefit,save_try,reciprocity
10,Controversial Take,thought_leadership,6,"S1:Hot take | S2:Why I believe this | S3-4:Evidence | S5:Nuance | S6:Your turn + CTA",industry opinions,71%,engagement debate,hot_take,comment_debate,controversy_engagement
11,Failure to Success,story,9,"S1:The failure | S2:What went wrong | S3:Rock bottom | S4:The pivot | S5-7:New approach | S8:Success | S9:Lessons + CTA",comeback story,76%,inspiration trust,mistake_admission,follow_dm,redemption_arc
12,Prediction,thought_leadership,5,"S1:Bold prediction | S2:Why now | S3-4:Evidence trends | S5:What to do + CTA",future trends,59%,authority,prediction,follow_discuss,authority_bias
13,Resource Roundup,value,10,"S1:What you'll get | S2-9:One resource each | S10:Save this + CTA",tools resources,62%,saves shares,value_promise,save_share,reciprocity
14,Quick Wins,educational,5,"S1:Fast results promise | S2-4:Quick tips | S5:Try now + CTA",instant tips,55%,engagement,direct_benefit,try_comment,instant_gratification
15,Personal Journey,story,8,"S1:Where I am now | S2:Where I started | S3-6:Key moments | S7:Lessons | S8:Your turn + CTA",milestone content,73%,connection,time_travel,follow_share,journey_relatability
