num,arc_name,structure,emotions_sequence,duration,use_case,example_topic,engagement_level,resolution_type
1,Hero's Journey,"Setup → Call → Resistance → Mentor → Trials → Transformation → Return","comfort → disruption → fear → hope → struggle → triumph → wisdom",long,transformation stories,business success story,high,triumphant
2,Rags to Riches,"Low point → Struggle → Discovery → Growth → Success","despair → determination → curiosity → effort → pride",medium,success stories,career growth,high,inspirational
3,Overcoming Monster,"Peace → Threat → Fear → Battle → Victory","calm → anxiety → fear → courage → relief",medium,problem-solving,defeating algorithm,high,victorious
4,Rebirth,"Sleep → Wake → Struggle → Transformation → New Life","stagnation → awareness → pain → growth → renewal",long,personal growth,mindset shift,high,transformative
5,Voyage Return,"Home → Journey → Trials → Wisdom → Return","comfort → curiosity → challenge → insight → contentment",long,learning journeys,mastering a skill,medium,enlightened
6,Comedy,"Confusion → Complications → Recognition → Resolution","puzzlement → frustration → realization → relief",short,relatable content,common mistakes,medium,satisfying
7,Tragedy,"Height → Flaw → Fall → Consequence → Lesson","pride → blindness → shock → regret → wisdom",medium,cautionary tales,burnout story,high,educational
8,Mystery,"Question → Clues → Red Herrings → Revelation → Understanding","curiosity → intrigue → confusion → surprise → clarity",medium,discovery content,algorithm secrets,high,revealing
9,Underdog,"Dismissed → Challenge → Doubt → Perseverance → Triumph","hurt → determination → fear → grit → pride",medium,comeback stories,small creator success,high,empowering
10,Confession,"Secret → Burden → Courage → Revelation → Relief","shame → heaviness → bravery → vulnerability → peace",short,authenticity content,admitting mistakes,high,cathartic
