num,platform,thread_type,hook_pattern,body_structure,close_pattern,optimal_length,avg_engagement,example_topic
1,twitter,How-To Guide,"How to [result] in [timeframe]","1. Problem setup | 2-5. Steps with examples | 6-8. Common mistakes | 9. Quick wins | 10. Summary","Follow for more + Bookmark",10-12 tweets,12.4%,"How to get 10k followers in 30 days"
2,twitter,Contrarian Take,"Everyone thinks X. They're wrong.","1. Common belief | 2. Why it fails data | 3-5. Alternative approach | 6-8. Evidence/case studies | 9. Implementation | 10. Challenge CTA","Try this and report back",9-11 tweets,15.7%,"Everyone thinks posting daily works"
3,twitter,Data Analysis,"I analyzed [N] [things]. Here's what I found:","1. Hook with number | 2. Method/Scope | 3-7. Key findings (1 per tweet) | 8-9. Implications | 10. Actionable takeaway","Save this for later",10-12 tweets,14.2%,"I analyzed 5000 viral tweets"
4,twitter,Personal Story,"This [timeframe] I [result]. Here's my journey:","1. Before state | 2. Turning point | 3-6. Key milestones | 7-8. Challenges overcome | 9. What I learned | 10. Your turn","What's your story? Reply below",10-11 tweets,11.8%,"This year I grew from 0 to 100k"
5,twitter,Mistake List,"[N] mistakes costing you [result]","1. Hook | 2. Context/Why it matters | 3-8. Each mistake (problem + fix) | 9. Biggest mistake | 10. Quick implementation","Which one hit hardest?",10-11 tweets,13.5%,"7 mistakes killing your Twitter growth"
6,twitter,Framework Thread,"The [name] framework for [result]","1. Framework intro | 2. Why it works | 3-7. Each step explained | 8. Example application | 9. Common pitfalls | 10. Template/Resource","Reply with questions",10-12 tweets,12.9%,"The 5-Tweet Formula for viral threads"
7,twitter,Before-After,"How I went from [bad] to [good]","1. Before state (relatable) | 2-3. Failed attempts | 4. Discovery moment | 5-7. What changed | 8-9. Results/Proof | 10. Your roadmap","Start today not tomorrow",10-11 tweets,13.1%,"From 10 views to 1M impressions"
8,twitter,Tool Stack,"[N] tools I use for [result]","1. Hook + Context | 2-9. Each tool (what it does + why + link) | 10. How they work together","Which one will you try first?",10-11 tweets,10.7%,"8 tools that 10x'd my Twitter growth"
9,twitter,Myth Busting,"[N] myths about [topic] (busted)","1. Hook | 2. Why myths persist | 3-8. Each myth (myth + truth + what to do) | 9. Biggest lie | 10. Reality check","Agree or disagree?",9-11 tweets,11.9%,"5 myths about Instagram SEO"
10,twitter,Mini Course,"Everything you need to know about [topic]","1. Scope/Promise | 2. Foundation | 3-6. Core concepts (progressive) | 7-8. Advanced tips | 9. Common questions | 10. Next steps + Resources","Bookmark this",10-13 tweets,12.6%,"Complete guide to Twitter threads"
11,twitter,Comparison,"[X] vs [Y]: The definitive guide","1. Hook | 2. Why comparison matters | 3-4. X explained (pros/cons) | 5-6. Y explained (pros/cons) | 7-8. When to use each | 9. My recommendation","What do you use?",9-11 tweets,11.3%,"Hashtags vs Keywords on Instagram"
12,twitter,Daily Habit,"[N] daily habits that [result]","1. Hook + Promise | 2-9. Each habit (what + why + how) | 10. Compound effect explanation","Which habit will you start?",10-11 tweets,10.9%,"7 daily habits of viral creators"
13,twitter,Unpopular Opinion,"Unpopular opinions about [topic]","1. Attention-grab | 2-7. Each opinion (statement + reasoning + data) | 8-9. Why people resist | 10. Final controversial take","Fight me in replies",8-10 tweets,14.8%,"Unpopular Twitter growth opinions"
14,twitter,Psychology Thread,"The psychology behind [behavior]","1. Observable behavior | 2. Why it fascinates | 3-6. Psychological principles | 7-8. How to leverage | 9. Ethical considerations | 10. Application","Tag someone who needs this",10-11 tweets,12.1%,"Psychology of viral content"
15,twitter,Timeline,"The evolution of [topic]","1. Where we started | 2-7. Key moments/changes chronologically | 8. Where we are now | 9. Where we're going | 10. What to prepare for","What did I miss?",10-11 tweets,10.4%,"Evolution of social media SEO"
16,twitter,Case Study Deep,"How [person/brand] achieved [result]","1. Context/Background | 2-3. Starting position | 4-7. Strategy breakdown | 8. Key turning point | 9. Results/Metrics | 10. Lessons for you","Try this strategy",10-12 tweets,13.7%,"How @username got 1M followers"
