num,word,category,emotion_trigger,intensity,best_context,avoid_context,example_usage
1,Secret,exclusivity,curiosity,high,authority content,overused niches,"The secret to viral content"
2,Hidden,exclusivity,curiosity,medium,reveals discoveries,"clickbait feel","Hidden patterns in the algorithm"
3,Insider,exclusivity,belonging,high,exclusive content,mass content,"Insider tips from top creators"
4,Rare,exclusivity,scarcity,medium,limited offers,common things,"Rare opportunity to learn"
5,Private,exclusivity,intimacy,medium,community building,public content,"Private strategy session"
6,Exclusive,exclusivity,status,high,offers memberships,overused contexts,"Exclusive access for subscribers"
7,Classified,exclusivity,intrigue,high,dramatic reveals,casual content,"Classified information about"
8,Confidential,exclusivity,trust,medium,professional context,casual content,"Confidential insights"
9,Underground,exclusivity,rebellion,medium,counter-culture,mainstream brands,"Underground growth tactics"
10,Forbidden,exclusivity,temptation,high,rule-breaking content,sensitive topics,"Forbidden strategies that work"
11,Now,urgency,action,high,time-sensitive CTAs,evergreen content,"Start now before it's too late"
12,Today,urgency,immediacy,medium,daily actions,long-term strategies,"Try this today"
13,Limited,urgency,scarcity,high,offers launches,unlimited things,"Limited spots available"
14,Hurry,urgency,pressure,high,flash sales,educational content,"Hurry - closing soon"
15,Deadline,urgency,pressure,high,time-bound offers,relaxed CTAs,"Deadline: midnight tonight"
16,Expires,urgency,loss fear,high,offers access,permanent content,"Offer expires in 24 hours"
17,Instant,urgency,gratification,medium,quick results,complex processes,"Instant results guaranteed"
18,Immediately,urgency,action,medium,urgent CTAs,patient journeys,"Apply this immediately"
19,Final,urgency,finality,high,last chances,ongoing offers,"Final chance to join"
20,Last,urgency,scarcity,high,ending offers,recurring things,"Last 5 spots remaining"
21,Discover,curiosity,exploration,medium,educational content,simple facts,"Discover the truth about"
22,Reveal,curiosity,unveiling,high,big announcements,small updates,"Revealing my exact process"
23,Uncover,curiosity,investigation,medium,research findings,obvious things,"Uncover what's really happening"
24,Finally,curiosity,anticipation,high,long-awaited reveals,new topics,"Finally sharing my strategy"
25,Truth,curiosity,authenticity,high,myth-busting,opinion pieces,"The truth nobody tells you"
26,Exposed,curiosity,scandal,high,controversial reveals,positive content,"Industry secrets exposed"
27,Unlock,curiosity,access,medium,potential realization,simple tips,"Unlock your creative potential"
28,Mystery,curiosity,intrigue,medium,story content,straightforward info,"The mystery of viral content"
29,Surprising,curiosity,unexpected,medium,counter-intuitive facts,obvious info,"Surprising results from my test"
30,Shocking,curiosity,disbelief,high,dramatic reveals,mild updates,"Shocking truth about engagement"
31,Warning,fear,danger,high,serious consequences,minor issues,"Warning: This kills your reach"
32,Mistake,fear,regret,medium,educational content,positive content,"The mistake costing you followers"
33,Avoid,fear,prevention,medium,cautionary content,encouraging content,"Avoid this at all costs"
34,Risk,fear,danger,medium,serious topics,casual tips,"The risk you're taking"
35,Danger,fear,threat,high,urgent warnings,minor cautions,"Danger zone for creators"
36,Fail,fear,consequence,medium,cautionary tales,success stories,"Why most people fail at this"
37,Lose,fear,loss,high,loss aversion,gain focus,"Don't lose this opportunity"
38,Threat,fear,danger,high,serious warnings,mild concerns,"The biggest threat to your growth"
