num,pattern_name,formula,truncation_strategy,example,expansion_rate,best_for,psychology,notes
1,Numbered List Start,"[Number] [outcome] I learned from [experience]: 1.",truncate_after_number,"7 growth strategies I learned from gaining 100k followers: 1.",12.3%,educational threads,completion_drive,brain wants to see full list
2,Story Tease,"[Time] ago [dramatic event happened]. [Incomplete thought]...",truncate_mid_story,"6 months ago I lost everything. My account my income my...",14.1%,personal stories,narrative_curiosity,story gap demands closure
3,Controversy Open,"Unpopular opinion: [bold claim]. Here's why...",truncate_before_why,"Unpopular opinion: Posting daily is killing your growth. Here's why...",11.8%,thought leadership,cognitive_dissonance,challenge demands explanation
4,Result Tease,"I [action] for [timeframe]. The result? [incomplete]...",truncate_before_result,"I analyzed 1000 viral tweets for 30 days. The result?...",13.2%,research content,outcome_curiosity,investment demands payoff
5,Secret Reveal,"The [adjective] secret about [topic] that [outcome]: (thread)",truncate_after_hook,"The hidden truth about the algorithm that most creators miss: (thread)",10.9%,insider content,exclusivity_curiosity,secrets demand revealing
6,Direct Challenge,"If you're [struggling with X], stop [action]. Instead...",truncate_before_solution,"If you're struggling with engagement, stop posting randomly. Instead...",9.7%,advice content,solution_seeking,problem-aware seeks solution
7,Authority Setup,"After [credentials/experience], here's what I know: [list starts]",truncate_after_list_start,"After 5 years and 1M followers, here's what I know: 1. Growth is...",10.4%,expert content,authority_trust,credentials earn attention
8,Comparison Hook,"[A] vs [B]: Which wins? I tested both for [time]...",truncate_mid_test,"Reels vs Carousels: Which grows faster? I tested both for 90 days...",11.2%,comparison content,comparison_curiosity,test implies answer
9,Failure Admission,"I made a $[amount] mistake. Here's what happened...",truncate_before_details,"I made a $10,000 mistake. Here's what happened...",13.8%,cautionary tales,schadenfreude,failure stories hook attention
10,Time Countdown,"In [X] minutes you'll know [valuable outcome]. Ready?",truncate_after_ready,"In 3 minutes you'll know exactly how to write viral hooks. Ready?",8.9%,quick value,time_investment,short commitment = low barrier
11,Myth Buster,"Everyone says [common belief]. They're wrong. The truth...",truncate_before_truth,"Everyone says post at peak times. They're wrong. The truth...",12.1%,educational,cognitive_dissonance,wrong belief needs correcting
12,Before/After,"[Time] ago: [before state]. Now: [after state]. What changed...",truncate_before_change,"1 year ago: 100 followers. Now: 50k. What changed...",11.5%,transformation,journey_curiosity,gap demands explanation
13,Hot Take,"Hot take: [provocative statement]. Let me explain before you...",truncate_mid_explanation,"Hot take: Engagement pods work. Let me explain before you...",10.6%,discussion starters,controversy_engagement,controversy demands context
14,Prediction,"My prediction for [timeframe]: [bold claim]. Why? Because...",truncate_before_reasoning,"My prediction for 2025: Carousels will dominate. Why? Because...",9.3%,trend content,future_curiosity,prediction demands support
15,Behind Scenes,"Here's what really happens when [public event]. (Not what you think)",truncate_after_tease,"Here's what really happens when a post goes viral. (Not what you think)",10.8%,transparency,insider_access,reality vs perception gap
16,Quick List,"Want [outcome]? Here's the exact list: 1. [starts]...",truncate_mid_list,"Want more engagement? Here's the exact list: 1. Hook in first...",9.1%,actionable tips,checklist_appeal,list promises completeness
17,Personal Revelation,"I've never shared this publicly but [revelation setup]...",truncate_after_setup,"I've never shared this publicly but my biggest failure taught me...",12.4%,vulnerable content,intimacy_curiosity,exclusivity of revelation
18,Data Shock,"[Shocking statistic]. This changes everything about [topic]...",truncate_before_implications,"92% of posts fail in the first 3 seconds. This changes everything about...",11.7%,educational,data_surprise,stat demands explanation
19,Step Process,"Step 1 of [building outcome]: [action]. (Most skip this)...",truncate_mid_process,"Step 1 of going viral: Forget the algorithm. (Most skip this)...",9.8%,how-to content,process_following,process implies completion
20,Question Thread,"[Provocative question]? After [experience], here's my answer...",truncate_before_answer,"What if followers don't matter? After 5 years, here's my answer...",10.2%,thought pieces,question_resolution,question demands answer
21,Confession Style,"Confession: I [admission]. But it taught me [lesson starts]...",truncate_before_lesson,"Confession: I bought followers once. But it taught me...",13.5%,authenticity content,vulnerability_trust,confession invites trust
22,Rapid Fire,"[Outcome] speedrun: 1. [point] 2. [point] 3. [point]...",truncate_mid_speedrun,"Content strategy speedrun: 1. Pick niche 2. Study winners 3...",8.4%,quick tips,speed_value,fast format appeals to busy
23,Reversal,"I used to think [belief]. Then [event]. Now I know...",truncate_before_new_knowledge,"I used to think followers = success. Then I hit 100k. Now I know...",12.0%,perspective shifts,belief_evolution,reversal creates curiosity
24,Challenge Accepted,"I challenged myself to [extreme action] for [time]. Results...",truncate_before_results,"I challenged myself to post 3x daily for 30 days. Results...",11.4%,experiment content,experiment_curiosity,challenge implies findings
25,Lesson Learned,"Lesson [number] of [total]: [lesson title]. Story behind it...",truncate_after_title,"Lesson 7 of 10: Never chase virality. Story behind it...",9.6%,series content,series_completion,numbered series builds commitment
