num,platform,style_name,goal,structure,example,avg_engagement,character_count,keyword_placement
1,instagram,Educational Hook,teach + engage,"[Question] + [Answer in 3 points] + [CTA]","Did you know 92% skip captions? Here's how to fix it: 1) Front-load keywords 2) Add value first 3) Clear CTA. Save this for later!",8.2%,145,first 15 chars
2,instagram,Story-Driven Connection,build trust,"[Personal anecdote] + [Lesson learned] + [Question]","Last month I lost 10k followers by ignoring SEO. Turns out Instagram's algorithm changed in Dec 2024. Here's what I learned... What's your biggest SEO mistake?",12.1%,178,naturally woven
3,instagram,Data-Led Authority,establish expertise,"[Surprising statistic] + [Why it matters] + [Actionable tip]","70% of Gen Z use Instagram as a search engine (not Google). If you're not optimizing for keywords you're invisible. Quick fix: Put keywords in your Name field.",10.5%,162,first 20 chars
4,instagram,Problem-Solution Quick,solve pain point,"[Common struggle] + [2-step solution] + [Benefit]","Struggling with captions? Try this: 1) Write hook first 2) Add value 3) End with question. Result: 3x more comments.",7.8%,128,first 10 chars
5,instagram,Behind-the-Scenes,humanize brand,"[Process reveal] + [Challenge faced] + [Lesson]","Here's what happened when I tested 50 caption styles... The 'educational hook' beat everything else by 40%. Full breakdown in comments!",9.3%,142,naturally woven
6,twitter,Thread Teaser Hook,drive engagement,"[Bold claim] + [Mini proof] + [Thread promise]","Most viral threads share 3 patterns. I analyzed 1000 threads with 1M+ views. Here's what I found: 🧵",15.7%,118,first 10 words
7,twitter,Contrarian Take,challenge norms,"[Common belief] + [Why it's wrong] + [Alternative]","Everyone says 'post daily'. But my analytics prove posting 3x/week gets 2x engagement. Here's why quality > quantity:",13.4%,132,first 15 chars
8,twitter,Data Thread Opener,establish credibility,"[Metric] + [Context] + [What's coming]","I spent $50k testing Twitter SEO tactics. ROI: 847%. Here are the 7 strategies that actually worked (with screenshots):",11.2%,127,first 20 chars
9,twitter,Story Arc Thread,narrative engagement,"[Hook] + [Rising action setup]","My first tweet got 7 views. My last got 2.3M. Here's the exact blueprint I followed (anyone can copy this):",14.8%,115,first 5 words
10,twitter,Question Hook Thread,curiosity gap,"[Provocative question] + [Challenge assumption]","What if I told you hashtags are dead? Instagram confirmed it in Dec 2024. Here's what actually works now:",12.6%,111,first 8 words
11,threads,Instagram Crossover,leverage network,"[Value proposition] + [Meta insight] + [Invite discussion]","Instagram's new algorithm favors keyword-rich captions over hashtags. I've been testing this for 3 months. What's your experience?",8.9%,138,first 12 chars
12,threads,Topic Authority Build,consistent expertise,"[Expert insight] + [Why it matters] + [Community question]","After analyzing 10k viral Threads posts the pattern is clear: Topic clarity > everything else. Your last 9 posts determine categorization.",7.4%,152,naturally woven
13,instagram,Mini Tutorial,provide value,"[Problem] + [Step-by-step solution] + [Result]","Can't get on Explore page? Fix: 1) Keyword in first line 2) Alt text on images 3) 3-5 niche hashtags. I went from 200 to 2k weekly reach.",9.7%,156,first line
14,instagram,Myth-Busting,correct misconceptions,"[Common myth] + [Truth] + [What to do instead]","Myth: More hashtags = more reach. Truth: Instagram penalizes 30-hashtag posts. Use 3-5 highly relevant ones. Check your insights—you'll see the difference.",11.3%,167,second sentence
15,instagram,Social Proof Pattern,build credibility,"[Result achieved] + [Timeframe] + [Key tactic]","Grew from 500 to 50k in 6 months using one simple trick: I put my main keyword in my NAME field (not username). Instagram search started showing my profile first.",10.1%,174,naturally woven
16,twitter,Pain-Agitate-Solve,address frustration,"[Pain point] + [Why it's worse] + [Solution preview]","Your tweets get no impressions? It's because you're burying the hook. The algorithm decides in the first 100 characters. Here's the fix:",12.9%,145,first 20 chars
17,twitter,Pattern Recognition,teach framework,"[I noticed X] + [Here's the pattern] + [How to use it]","I noticed viral threads follow a pattern: Hook (1 tweet) + Value (7-9 tweets) + CTA (1 tweet). Used it yesterday got 100k impressions. Full breakdown:",13.7%,156,first 10 chars
18,threads,Meta Ecosystem Play,cross-platform,"[Insight] + [Cross-platform tip] + [Engagement ask]","Pro tip: Threads + Instagram work together. Post similar topics on both for 2x algorithmic boost. Meta confirmed this. Who's tested it?",8.1%,142,naturally woven
19,instagram,Transformation Post,before-after,"[Before state] + [After state] + [What changed]","Before: 50 views per post. After: 5k views per post. The difference? I started writing captions like Google search queries. Keywords > creativity.",11.8%,158,second sentence
20,instagram,Listicle Format,scannable value,"[Number] + [Category] + [Brief items] + [CTA]","5 Instagram SEO fixes: 1) Keywords in bio 2) Alt text on images 3) Hashtags in caption (not comments) 4) Name field optimization 5) Enable website embeds. Which one did you miss?",9.4%,189,first 5 words
21,twitter,Curiosity Loop,sustained engagement,"[Fascinating claim] + [Just enough info] + [Thread tease]","This 47-character caption got 10M impressions. Here's why it worked (and how to replicate it): [1/10]",14.2%,108,first 12 chars
22,twitter,Case Study Hook,prove concept,"[Specific result] + [Method] + [Proof promise]","Made $12k from one thread. Total time: 23 minutes. Here's the exact structure I used (+ screenshots of the revenue):",13.1%,123,first 8 chars
23,instagram,Controversial Opinion,spark debate,"[Unpopular take] + [Reasoning] + [Invite counterpoint]","Unpopular opinion: Reels are overrated for growth. My carousel posts get 10x more saves and shares. Here's my data... Disagree? Let's discuss.",10.7%,151,first 5 words
24,instagram,Tactical Breakdown,actionable steps,"[What] + [Why] + [Exactly how]","Instagram alt text isn't just accessibility—it's SEO gold. Google indexes it. Here's how to write it: [Keyword] + [detailed description]. Example in comments.",9.9%,168,first 15 chars
25,twitter,Personal Experiment,share learnings,"[I tested X] + [Here's what happened] + [Takeaway]","I posted the same content at different times for 30 days. Result: 8pm posts got 4x more impressions than 8am. Your audience's timezone matters more than 'best time to post' guides.",12.4%,194,first 10 chars
26,threads,Community Building,foster discussion,"[Observation] + [Your take] + [Open question]","Threads algorithm rewards replies more than likes. I've been replying to every comment within 1 hour—my reach doubled. What's your engagement strategy?",8.6%,161,naturally woven
27,instagram,Value Stack,multiple tips,"[Promise] + [Tips rapid-fire] + [Bonus]","Want more saves? Do this: ✓ Educational content ✓ Carousel format ✓ Save this reminder ✓ DM for template. Bonus: Saves = algorithmic boost.",8.8%,147,first 8 chars
28,twitter,Micro-Story,concise narrative,"[Situation] + [Turning point] + [Outcome]","My thread got 3 views. Changed the hook to a question—hit 300k. Sometimes all you need is to move one sentence.",11.8%,122,naturally woven
29,instagram,Direct CTA Leader,action-focused,"[Command] + [Benefit] + [Urgency]","Stop scrolling. If you're not using keywords in your captions Instagram can't categorize your content. Fix it today your reach depends on it.",9.1%,149,first 2 words
30,twitter,Research Reveal,authority building,"[Study/Analysis] + [Key finding] + [Implication]","Analyzed 5000 viral tweets from 2024. 78% used numbers in the first line. 92% had a clear CTA. 100% front-loaded the hook. Pattern recognition = unfair advantage.",14.5%,174,first 10 chars
